Antecedents,Consequents,Support,Confidence,Lift,Clinical Pattern Observation
"High_Lab_Procedures (>=50), Stay_Long (>=7 days)","DiabetesMed_Yes, Readmitted_30d",0.02,0.1465,1.1358,"Encounters with 'High_Lab_Procedures (>=50), Stay_Long (>=7 days)' frequently exhibit 'DiabetesMed_Yes, Readmitted_30d' (Lift: 1.14x baseline). Note: Association does not imply causation."
"Admission_Emergency, Stay_Long (>=7 days)","Med_Change_Yes, Med_Insulin_Prescribed",0.0445,0.3991,1.1354,"Encounters with 'Admission_Emergency, Stay_Long (>=7 days)' frequently exhibit 'Med_Change_Yes, Med_Insulin_Prescribed' (Lift: 1.14x baseline). Note: Association does not imply causation."
"Admission_Emergency, Stay_Long (>=7 days)","Med_Change_Yes, DiabetesMed_Yes, Med_Insulin_Prescribed",0.0445,0.3991,1.1354,"Encounters with 'Admission_Emergency, Stay_Long (>=7 days)' frequently exhibit 'Med_Change_Yes, DiabetesMed_Yes, Med_Insulin_Prescribed' (Lift: 1.14x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Med_Insulin_Prescribed","Admission_Emergency, Stay_Long (>=7 days)",0.0445,0.1266,1.1354,"Encounters with 'Med_Change_Yes, Med_Insulin_Prescribed' frequently exhibit 'Admission_Emergency, Stay_Long (>=7 days)' (Lift: 1.14x baseline). Note: Association does not imply causation."
"Med_Change_Yes, DiabetesMed_Yes, Med_Insulin_Prescribed","Admission_Emergency, Stay_Long (>=7 days)",0.0445,0.1266,1.1354,"Encounters with 'Med_Change_Yes, DiabetesMed_Yes, Med_Insulin_Prescribed' frequently exhibit 'Admission_Emergency, Stay_Long (>=7 days)' (Lift: 1.14x baseline). Note: Association does not imply causation."
"High_Lab_Procedures (>=50), Med_Metformin_Prescribed",Admission_Emergency,0.0465,0.6078,1.1351,"Encounters with 'High_Lab_Procedures (>=50), Med_Metformin_Prescribed' frequently exhibit 'Admission_Emergency' (Lift: 1.14x baseline). Note: Association does not imply causation."
"DiabetesMed_Yes, High_Lab_Procedures (>=50), Med_Metformin_Prescribed",Admission_Emergency,0.0465,0.6078,1.1351,"Encounters with 'DiabetesMed_Yes, High_Lab_Procedures (>=50), Med_Metformin_Prescribed' frequently exhibit 'Admission_Emergency' (Lift: 1.14x baseline). Note: Association does not imply causation."
Readmitted_30d,Med_Change_Yes,0.0845,0.5045,1.1349,Encounters with 'Readmitted_30d' frequently exhibit 'Med_Change_Yes' (Lift: 1.13x baseline). Note: Association does not imply causation.
Readmitted_30d,"Med_Change_Yes, DiabetesMed_Yes",0.0845,0.5045,1.1349,"Encounters with 'Readmitted_30d' frequently exhibit 'Med_Change_Yes, DiabetesMed_Yes' (Lift: 1.13x baseline). Note: Association does not imply causation."
Med_Change_Yes,Readmitted_30d,0.0845,0.1901,1.1349,Encounters with 'Med_Change_Yes' frequently exhibit 'Readmitted_30d' (Lift: 1.13x baseline). Note: Association does not imply causation.
"Med_Change_Yes, DiabetesMed_Yes",Readmitted_30d,0.0845,0.1901,1.1349,"Encounters with 'Med_Change_Yes, DiabetesMed_Yes' frequently exhibit 'Readmitted_30d' (Lift: 1.13x baseline). Note: Association does not imply causation."
"High_Lab_Procedures (>=50), Readmitted_30d",Admission_Emergency,0.0395,0.6077,1.1348,"Encounters with 'High_Lab_Procedures (>=50), Readmitted_30d' frequently exhibit 'Admission_Emergency' (Lift: 1.13x baseline). Note: Association does not imply causation."
"Admission_Emergency, DiabetesMed_Yes, High_Prior_Utilization",High_Lab_Procedures (>=50),0.0215,0.4479,1.134,"Encounters with 'Admission_Emergency, DiabetesMed_Yes, High_Prior_Utilization' frequently exhibit 'High_Lab_Procedures (>=50)' (Lift: 1.13x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, Stay_Long (>=7 days)",Diag1_Circulatory,0.0415,0.3281,1.1332,"Encounters with 'Med_Insulin_Prescribed, Stay_Long (>=7 days)' frequently exhibit 'Diag1_Circulatory' (Lift: 1.13x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, DiabetesMed_Yes, Stay_Long (>=7 days)",Diag1_Circulatory,0.0415,0.3281,1.1332,"Encounters with 'Med_Insulin_Prescribed, DiabetesMed_Yes, Stay_Long (>=7 days)' frequently exhibit 'Diag1_Circulatory' (Lift: 1.13x baseline). Note: Association does not imply causation."
Diag1_Circulatory,"Med_Insulin_Prescribed, Stay_Long (>=7 days)",0.0415,0.1434,1.1332,"Encounters with 'Diag1_Circulatory' frequently exhibit 'Med_Insulin_Prescribed, Stay_Long (>=7 days)' (Lift: 1.13x baseline). Note: Association does not imply causation."
Diag1_Circulatory,"Med_Insulin_Prescribed, DiabetesMed_Yes, Stay_Long (>=7 days)",0.0415,0.1434,1.1332,"Encounters with 'Diag1_Circulatory' frequently exhibit 'Med_Insulin_Prescribed, DiabetesMed_Yes, Stay_Long (>=7 days)' (Lift: 1.13x baseline). Note: Association does not imply causation."
"A1C_High (>7/8), High_Lab_Procedures (>=50)",Admission_Emergency,0.0455,0.6067,1.1329,"Encounters with 'A1C_High (>7/8), High_Lab_Procedures (>=50)' frequently exhibit 'Admission_Emergency' (Lift: 1.13x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, Admission_Emergency, Stay_Long (>=7 days)",DiabetesMed_Yes,0.0285,0.8382,1.1312,"Encounters with 'Diag1_Circulatory, Admission_Emergency, Stay_Long (>=7 days)' frequently exhibit 'DiabetesMed_Yes' (Lift: 1.13x baseline). Note: Association does not imply causation."
"Admission_Emergency, High_Lab_Procedures (>=50), Stay_Long (>=7 days)","Med_Change_Yes, Med_Insulin_Prescribed",0.031,0.3974,1.1307,"Encounters with 'Admission_Emergency, High_Lab_Procedures (>=50), Stay_Long (>=7 days)' frequently exhibit 'Med_Change_Yes, Med_Insulin_Prescribed' (Lift: 1.13x baseline). Note: Association does not imply causation."
"Admission_Emergency, High_Lab_Procedures (>=50), Stay_Long (>=7 days)","Med_Change_Yes, DiabetesMed_Yes, Med_Insulin_Prescribed",0.031,0.3974,1.1307,"Encounters with 'Admission_Emergency, High_Lab_Procedures (>=50), Stay_Long (>=7 days)' frequently exhibit 'Med_Change_Yes, DiabetesMed_Yes, Med_Insulin_Prescribed' (Lift: 1.13x baseline). Note: Association does not imply causation."
Med_Metformin_Prescribed,"Diag1_Circulatory, High_Lab_Procedures (>=50)",0.0235,0.1221,1.1304,"Encounters with 'Med_Metformin_Prescribed' frequently exhibit 'Diag1_Circulatory, High_Lab_Procedures (>=50)' (Lift: 1.13x baseline). Note: Association does not imply causation."
"DiabetesMed_Yes, Med_Metformin_Prescribed","Diag1_Circulatory, High_Lab_Procedures (>=50)",0.0235,0.1221,1.1304,"Encounters with 'DiabetesMed_Yes, Med_Metformin_Prescribed' frequently exhibit 'Diag1_Circulatory, High_Lab_Procedures (>=50)' (Lift: 1.13x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, High_Lab_Procedures (>=50)",Med_Metformin_Prescribed,0.0235,0.2176,1.1304,"Encounters with 'Diag1_Circulatory, High_Lab_Procedures (>=50)' frequently exhibit 'Med_Metformin_Prescribed' (Lift: 1.13x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, High_Lab_Procedures (>=50)","DiabetesMed_Yes, Med_Metformin_Prescribed",0.0235,0.2176,1.1304,"Encounters with 'Diag1_Circulatory, High_Lab_Procedures (>=50)' frequently exhibit 'DiabetesMed_Yes, Med_Metformin_Prescribed' (Lift: 1.13x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Diag1_Other",High_Lab_Procedures (>=50),0.033,0.4459,1.129,"Encounters with 'Med_Change_Yes, Diag1_Other' frequently exhibit 'High_Lab_Procedures (>=50)' (Lift: 1.13x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Diag1_Other, DiabetesMed_Yes",High_Lab_Procedures (>=50),0.033,0.4459,1.129,"Encounters with 'Med_Change_Yes, Diag1_Other, DiabetesMed_Yes' frequently exhibit 'High_Lab_Procedures (>=50)' (Lift: 1.13x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, Readmitted_30d",DiabetesMed_Yes,0.0435,0.8365,1.1289,"Encounters with 'Diag1_Circulatory, Readmitted_30d' frequently exhibit 'DiabetesMed_Yes' (Lift: 1.13x baseline). Note: Association does not imply causation."
"Admission_Emergency, Diag1_Diabetes",DiabetesMed_Yes,0.0435,0.8365,1.1289,"Encounters with 'Admission_Emergency, Diag1_Diabetes' frequently exhibit 'DiabetesMed_Yes' (Lift: 1.13x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Med_Metformin_Prescribed",Med_Insulin_Prescribed,0.093,0.5794,1.1284,"Encounters with 'Med_Change_Yes, Med_Metformin_Prescribed' frequently exhibit 'Med_Insulin_Prescribed' (Lift: 1.13x baseline). Note: Association does not imply causation."
"Med_Change_Yes, DiabetesMed_Yes, Med_Metformin_Prescribed",Med_Insulin_Prescribed,0.093,0.5794,1.1284,"Encounters with 'Med_Change_Yes, DiabetesMed_Yes, Med_Metformin_Prescribed' frequently exhibit 'Med_Insulin_Prescribed' (Lift: 1.13x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Med_Metformin_Prescribed","Med_Insulin_Prescribed, DiabetesMed_Yes",0.093,0.5794,1.1284,"Encounters with 'Med_Change_Yes, Med_Metformin_Prescribed' frequently exhibit 'Med_Insulin_Prescribed, DiabetesMed_Yes' (Lift: 1.13x baseline). Note: Association does not imply causation."
Med_Insulin_Prescribed,"Med_Change_Yes, Med_Metformin_Prescribed",0.093,0.1811,1.1284,"Encounters with 'Med_Insulin_Prescribed' frequently exhibit 'Med_Change_Yes, Med_Metformin_Prescribed' (Lift: 1.13x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, DiabetesMed_Yes","Med_Change_Yes, Med_Metformin_Prescribed",0.093,0.1811,1.1284,"Encounters with 'Med_Insulin_Prescribed, DiabetesMed_Yes' frequently exhibit 'Med_Change_Yes, Med_Metformin_Prescribed' (Lift: 1.13x baseline). Note: Association does not imply causation."
Med_Insulin_Prescribed,"Med_Change_Yes, DiabetesMed_Yes, Med_Metformin_Prescribed",0.093,0.1811,1.1284,"Encounters with 'Med_Insulin_Prescribed' frequently exhibit 'Med_Change_Yes, DiabetesMed_Yes, Med_Metformin_Prescribed' (Lift: 1.13x baseline). Note: Association does not imply causation."
Med_Pioglitazone_Prescribed,Diag1_Circulatory,0.0245,0.3267,1.1284,Encounters with 'Med_Pioglitazone_Prescribed' frequently exhibit 'Diag1_Circulatory' (Lift: 1.13x baseline). Note: Association does not imply causation.
"Med_Pioglitazone_Prescribed, DiabetesMed_Yes",Diag1_Circulatory,0.0245,0.3267,1.1284,"Encounters with 'Med_Pioglitazone_Prescribed, DiabetesMed_Yes' frequently exhibit 'Diag1_Circulatory' (Lift: 1.13x baseline). Note: Association does not imply causation."
"Admission_Emergency, Diag1_Respiratory",High_Lab_Procedures (>=50),0.0385,0.4451,1.1268,"Encounters with 'Admission_Emergency, Diag1_Respiratory' frequently exhibit 'High_Lab_Procedures (>=50)' (Lift: 1.13x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, DiabetesMed_Yes, Admission_Emergency",Stay_Long (>=7 days),0.0285,0.2522,1.1259,"Encounters with 'Diag1_Circulatory, DiabetesMed_Yes, Admission_Emergency' frequently exhibit 'Stay_Long (>=7 days)' (Lift: 1.13x baseline). Note: Association does not imply causation."
Stay_Long (>=7 days),"Diag1_Circulatory, DiabetesMed_Yes, Admission_Emergency",0.0285,0.1272,1.1259,"Encounters with 'Stay_Long (>=7 days)' frequently exhibit 'Diag1_Circulatory, DiabetesMed_Yes, Admission_Emergency' (Lift: 1.13x baseline). Note: Association does not imply causation."
"Admission_Emergency, DiabetesMed_Yes, Stay_Long (>=7 days)",Diag1_Circulatory,0.0285,0.3257,1.1251,"Encounters with 'Admission_Emergency, DiabetesMed_Yes, Stay_Long (>=7 days)' frequently exhibit 'Diag1_Circulatory' (Lift: 1.13x baseline). Note: Association does not imply causation."
Readmitted_30d,"Med_Change_Yes, High_Lab_Procedures (>=50)",0.0355,0.2119,1.1244,"Encounters with 'Readmitted_30d' frequently exhibit 'Med_Change_Yes, High_Lab_Procedures (>=50)' (Lift: 1.12x baseline). Note: Association does not imply causation."
Readmitted_30d,"Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)",0.0355,0.2119,1.1244,"Encounters with 'Readmitted_30d' frequently exhibit 'Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)' (Lift: 1.12x baseline). Note: Association does not imply causation."
"Med_Change_Yes, High_Lab_Procedures (>=50)",Readmitted_30d,0.0355,0.1883,1.1244,"Encounters with 'Med_Change_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Readmitted_30d' (Lift: 1.12x baseline). Note: Association does not imply causation."
"Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)",Readmitted_30d,0.0355,0.1883,1.1244,"Encounters with 'Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Readmitted_30d' (Lift: 1.12x baseline). Note: Association does not imply causation."
Diag1_Respiratory,"Med_Insulin_Prescribed, Med_Change_Yes, High_Lab_Procedures (>=50)",0.023,0.1729,1.1229,"Encounters with 'Diag1_Respiratory' frequently exhibit 'Med_Insulin_Prescribed, Med_Change_Yes, High_Lab_Procedures (>=50)' (Lift: 1.12x baseline). Note: Association does not imply causation."
Diag1_Respiratory,"Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed",0.023,0.1729,1.1229,"Encounters with 'Diag1_Respiratory' frequently exhibit 'Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed' (Lift: 1.12x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, Med_Change_Yes, High_Lab_Procedures (>=50)",Diag1_Respiratory,0.023,0.1494,1.1229,"Encounters with 'Med_Insulin_Prescribed, Med_Change_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Diag1_Respiratory' (Lift: 1.12x baseline). Note: Association does not imply causation."
"Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed",Diag1_Respiratory,0.023,0.1494,1.1229,"Encounters with 'Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed' frequently exhibit 'Diag1_Respiratory' (Lift: 1.12x baseline). Note: Association does not imply causation."
"Stay_Long (>=7 days), Med_Metformin_Prescribed",Med_Insulin_Prescribed,0.0245,0.5765,1.1226,"Encounters with 'Stay_Long (>=7 days), Med_Metformin_Prescribed' frequently exhibit 'Med_Insulin_Prescribed' (Lift: 1.12x baseline). Note: Association does not imply causation."
"DiabetesMed_Yes, Stay_Long (>=7 days), Med_Metformin_Prescribed",Med_Insulin_Prescribed,0.0245,0.5765,1.1226,"Encounters with 'DiabetesMed_Yes, Stay_Long (>=7 days), Med_Metformin_Prescribed' frequently exhibit 'Med_Insulin_Prescribed' (Lift: 1.12x baseline). Note: Association does not imply causation."
"Stay_Long (>=7 days), Med_Metformin_Prescribed","Med_Insulin_Prescribed, DiabetesMed_Yes",0.0245,0.5765,1.1226,"Encounters with 'Stay_Long (>=7 days), Med_Metformin_Prescribed' frequently exhibit 'Med_Insulin_Prescribed, DiabetesMed_Yes' (Lift: 1.12x baseline). Note: Association does not imply causation."
"Admission_Emergency, High_Lab_Procedures (>=50), Diag1_Circulatory",Med_Insulin_Prescribed,0.04,0.5755,1.1208,"Encounters with 'Admission_Emergency, High_Lab_Procedures (>=50), Diag1_Circulatory' frequently exhibit 'Med_Insulin_Prescribed' (Lift: 1.12x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, Admission_Emergency, High_Lab_Procedures (>=50)","Med_Insulin_Prescribed, DiabetesMed_Yes",0.04,0.5755,1.1208,"Encounters with 'Diag1_Circulatory, Admission_Emergency, High_Lab_Procedures (>=50)' frequently exhibit 'Med_Insulin_Prescribed, DiabetesMed_Yes' (Lift: 1.12x baseline). Note: Association does not imply causation."
Diag1_Diabetes,DiabetesMed_Yes,0.0685,0.8303,1.1205,Encounters with 'Diag1_Diabetes' frequently exhibit 'DiabetesMed_Yes' (Lift: 1.12x baseline). Note: Association does not imply causation.
"Med_Insulin_Prescribed, Diag1_Respiratory",Admission_Emergency,0.0405,0.6,1.1204,"Encounters with 'Med_Insulin_Prescribed, Diag1_Respiratory' frequently exhibit 'Admission_Emergency' (Lift: 1.12x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, DiabetesMed_Yes, Diag1_Respiratory",Admission_Emergency,0.0405,0.6,1.1204,"Encounters with 'Med_Insulin_Prescribed, DiabetesMed_Yes, Diag1_Respiratory' frequently exhibit 'Admission_Emergency' (Lift: 1.12x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Diag1_Diabetes",Admission_Emergency,0.03,0.6,1.1204,"Encounters with 'Med_Change_Yes, Diag1_Diabetes' frequently exhibit 'Admission_Emergency' (Lift: 1.12x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Diag1_Diabetes, DiabetesMed_Yes",Admission_Emergency,0.03,0.6,1.1204,"Encounters with 'Med_Change_Yes, Diag1_Diabetes, DiabetesMed_Yes' frequently exhibit 'Admission_Emergency' (Lift: 1.12x baseline). Note: Association does not imply causation."
"Admission_Emergency, Stay_Long (>=7 days)",Med_Change_Yes,0.0555,0.4978,1.1198,"Encounters with 'Admission_Emergency, Stay_Long (>=7 days)' frequently exhibit 'Med_Change_Yes' (Lift: 1.12x baseline). Note: Association does not imply causation."
"Admission_Emergency, Stay_Long (>=7 days)","Med_Change_Yes, DiabetesMed_Yes",0.0555,0.4978,1.1198,"Encounters with 'Admission_Emergency, Stay_Long (>=7 days)' frequently exhibit 'Med_Change_Yes, DiabetesMed_Yes' (Lift: 1.12x baseline). Note: Association does not imply causation."
Med_Change_Yes,"Admission_Emergency, Stay_Long (>=7 days)",0.0555,0.1249,1.1198,"Encounters with 'Med_Change_Yes' frequently exhibit 'Admission_Emergency, Stay_Long (>=7 days)' (Lift: 1.12x baseline). Note: Association does not imply causation."
"Med_Change_Yes, DiabetesMed_Yes","Admission_Emergency, Stay_Long (>=7 days)",0.0555,0.1249,1.1198,"Encounters with 'Med_Change_Yes, DiabetesMed_Yes' frequently exhibit 'Admission_Emergency, Stay_Long (>=7 days)' (Lift: 1.12x baseline). Note: Association does not imply causation."
"Med_Glipizide_Prescribed, Admission_Emergency",High_Lab_Procedures (>=50),0.0265,0.4417,1.1181,"Encounters with 'Med_Glipizide_Prescribed, Admission_Emergency' frequently exhibit 'High_Lab_Procedures (>=50)' (Lift: 1.12x baseline). Note: Association does not imply causation."
"Med_Glipizide_Prescribed, DiabetesMed_Yes, Admission_Emergency",High_Lab_Procedures (>=50),0.0265,0.4417,1.1181,"Encounters with 'Med_Glipizide_Prescribed, DiabetesMed_Yes, Admission_Emergency' frequently exhibit 'High_Lab_Procedures (>=50)' (Lift: 1.12x baseline). Note: Association does not imply causation."
"Med_Change_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed","Diag1_Circulatory, Admission_Emergency",0.026,0.1688,1.1181,"Encounters with 'Med_Change_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed' frequently exhibit 'Diag1_Circulatory, Admission_Emergency' (Lift: 1.12x baseline). Note: Association does not imply causation."
"Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed","Diag1_Circulatory, Admission_Emergency",0.026,0.1688,1.1181,"Encounters with 'Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed' frequently exhibit 'Diag1_Circulatory, Admission_Emergency' (Lift: 1.12x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, Admission_Emergency","Med_Change_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed",0.026,0.1722,1.1181,"Encounters with 'Diag1_Circulatory, Admission_Emergency' frequently exhibit 'Med_Change_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed' (Lift: 1.12x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, Admission_Emergency","Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed",0.026,0.1722,1.1181,"Encounters with 'Diag1_Circulatory, Admission_Emergency' frequently exhibit 'Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed' (Lift: 1.12x baseline). Note: Association does not imply causation."
"Med_Change_Yes, High_Lab_Procedures (>=50), Med_Metformin_Prescribed",Admission_Emergency,0.0395,0.5985,1.1176,"Encounters with 'Med_Change_Yes, High_Lab_Procedures (>=50), Med_Metformin_Prescribed' frequently exhibit 'Admission_Emergency' (Lift: 1.12x baseline). Note: Association does not imply causation."
"Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50), Med_Metformin_Prescribed",Admission_Emergency,0.0395,0.5985,1.1176,"Encounters with 'Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50), Med_Metformin_Prescribed' frequently exhibit 'Admission_Emergency' (Lift: 1.12x baseline). Note: Association does not imply causation."
Diag1_Musculoskeletal,DiabetesMed_Yes,0.043,0.8269,1.116,Encounters with 'Diag1_Musculoskeletal' frequently exhibit 'DiabetesMed_Yes' (Lift: 1.12x baseline). Note: Association does not imply causation.
"Diag1_Circulatory, A1C_High (>7/8)",DiabetesMed_Yes,0.0285,0.8261,1.1148,"Encounters with 'Diag1_Circulatory, A1C_High (>7/8)' frequently exhibit 'DiabetesMed_Yes' (Lift: 1.11x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Diag1_Other","Admission_Emergency, DiabetesMed_Yes",0.0325,0.4392,1.1147,"Encounters with 'Med_Change_Yes, Diag1_Other' frequently exhibit 'Admission_Emergency, DiabetesMed_Yes' (Lift: 1.11x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, Readmitted_30d",Admission_Emergency,0.031,0.5962,1.1133,"Encounters with 'Diag1_Circulatory, Readmitted_30d' frequently exhibit 'Admission_Emergency' (Lift: 1.11x baseline). Note: Association does not imply causation."
"Med_Change_Yes, High_Lab_Procedures (>=50), Diag1_Circulatory",Admission_Emergency,0.031,0.5962,1.1133,"Encounters with 'Med_Change_Yes, High_Lab_Procedures (>=50), Diag1_Circulatory' frequently exhibit 'Admission_Emergency' (Lift: 1.11x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)",Admission_Emergency,0.031,0.5962,1.1133,"Encounters with 'Diag1_Circulatory, Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Admission_Emergency' (Lift: 1.11x baseline). Note: Association does not imply causation."
"Admission_Emergency, High_Lab_Procedures (>=50), Stay_Long (>=7 days)",Med_Change_Yes,0.0385,0.4936,1.1104,"Encounters with 'Admission_Emergency, High_Lab_Procedures (>=50), Stay_Long (>=7 days)' frequently exhibit 'Med_Change_Yes' (Lift: 1.11x baseline). Note: Association does not imply causation."
"Admission_Emergency, High_Lab_Procedures (>=50), Stay_Long (>=7 days)","Med_Change_Yes, DiabetesMed_Yes",0.0385,0.4936,1.1104,"Encounters with 'Admission_Emergency, High_Lab_Procedures (>=50), Stay_Long (>=7 days)' frequently exhibit 'Med_Change_Yes, DiabetesMed_Yes' (Lift: 1.11x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, Admission_Emergency, Readmitted_30d",DiabetesMed_Yes,0.0255,0.8226,1.1101,"Encounters with 'Diag1_Circulatory, Admission_Emergency, Readmitted_30d' frequently exhibit 'DiabetesMed_Yes' (Lift: 1.11x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Diag1_Circulatory",Readmitted_30d,0.025,0.1859,1.1097,"Encounters with 'Med_Change_Yes, Diag1_Circulatory' frequently exhibit 'Readmitted_30d' (Lift: 1.11x baseline). Note: Association does not imply causation."
"Med_Change_Yes, DiabetesMed_Yes, Diag1_Circulatory",Readmitted_30d,0.025,0.1859,1.1097,"Encounters with 'Med_Change_Yes, DiabetesMed_Yes, Diag1_Circulatory' frequently exhibit 'Readmitted_30d' (Lift: 1.11x baseline). Note: Association does not imply causation."
Readmitted_30d,"Med_Change_Yes, Diag1_Circulatory",0.025,0.1493,1.1097,"Encounters with 'Readmitted_30d' frequently exhibit 'Med_Change_Yes, Diag1_Circulatory' (Lift: 1.11x baseline). Note: Association does not imply causation."
Readmitted_30d,"Med_Change_Yes, DiabetesMed_Yes, Diag1_Circulatory",0.025,0.1493,1.1097,"Encounters with 'Readmitted_30d' frequently exhibit 'Med_Change_Yes, DiabetesMed_Yes, Diag1_Circulatory' (Lift: 1.11x baseline). Note: Association does not imply causation."
Readmitted_30d,"Med_Change_Yes, Admission_Emergency, Med_Insulin_Prescribed",0.034,0.203,1.1092,"Encounters with 'Readmitted_30d' frequently exhibit 'Med_Change_Yes, Admission_Emergency, Med_Insulin_Prescribed' (Lift: 1.11x baseline). Note: Association does not imply causation."
Readmitted_30d,"Admission_Emergency, Med_Change_Yes, DiabetesMed_Yes, Med_Insulin_Prescribed",0.034,0.203,1.1092,"Encounters with 'Readmitted_30d' frequently exhibit 'Admission_Emergency, Med_Change_Yes, DiabetesMed_Yes, Med_Insulin_Prescribed' (Lift: 1.11x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Admission_Emergency, Med_Insulin_Prescribed",Readmitted_30d,0.034,0.1858,1.1092,"Encounters with 'Med_Change_Yes, Admission_Emergency, Med_Insulin_Prescribed' frequently exhibit 'Readmitted_30d' (Lift: 1.11x baseline). Note: Association does not imply causation."
"Admission_Emergency, Med_Change_Yes, DiabetesMed_Yes, Med_Insulin_Prescribed",Readmitted_30d,0.034,0.1858,1.1092,"Encounters with 'Admission_Emergency, Med_Change_Yes, DiabetesMed_Yes, Med_Insulin_Prescribed' frequently exhibit 'Readmitted_30d' (Lift: 1.11x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Med_Insulin_Prescribed",High_Lab_Procedures (>=50),0.154,0.4381,1.1092,"Encounters with 'Med_Change_Yes, Med_Insulin_Prescribed' frequently exhibit 'High_Lab_Procedures (>=50)' (Lift: 1.11x baseline). Note: Association does not imply causation."
"Med_Change_Yes, DiabetesMed_Yes, Med_Insulin_Prescribed",High_Lab_Procedures (>=50),0.154,0.4381,1.1092,"Encounters with 'Med_Change_Yes, DiabetesMed_Yes, Med_Insulin_Prescribed' frequently exhibit 'High_Lab_Procedures (>=50)' (Lift: 1.11x baseline). Note: Association does not imply causation."
High_Lab_Procedures (>=50),"Med_Change_Yes, Med_Insulin_Prescribed",0.154,0.3899,1.1092,"Encounters with 'High_Lab_Procedures (>=50)' frequently exhibit 'Med_Change_Yes, Med_Insulin_Prescribed' (Lift: 1.11x baseline). Note: Association does not imply causation."
High_Lab_Procedures (>=50),"Med_Change_Yes, DiabetesMed_Yes, Med_Insulin_Prescribed",0.154,0.3899,1.1092,"Encounters with 'High_Lab_Procedures (>=50)' frequently exhibit 'Med_Change_Yes, DiabetesMed_Yes, Med_Insulin_Prescribed' (Lift: 1.11x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, Diag1_Other",High_Lab_Procedures (>=50),0.0385,0.4375,1.1076,"Encounters with 'Med_Insulin_Prescribed, Diag1_Other' frequently exhibit 'High_Lab_Procedures (>=50)' (Lift: 1.11x baseline). Note: Association does not imply causation."
